idCliente;nombre;direccion;codCiudad;email;nombreDeUsuario;contrasena
340;Melodie Parker;Ap #9197 Vehicula St;1101;ac.nulla@idbt.ne;Steven;nec
349;Wang Duncan;P.O. Box 115;1101;ac@dicnd.c;Olivia;ligula
294;Germaine Curry;Ap #2248 Aenean Road;7601;ante.lectus@an.net;Eagan;gravida
266;Hamilton Moore;6052 Est, Av.;7601;blandit.Nam@In.org;Galena;pede
268;Miranda Austin;P.O. Box 904;801;cursus.diam@Se.net;Breanna;mi,
323;Dylan Schmidt;P.O. Box 813;7601;dictum@frico.u;Wendy;non,
338;Isaac Floyd;396 Mauris Rd.;501;dis@anter.c;Kathleen;eu
272;Freya Pugh;P.O. Box 462;501;Duis@vu.com;Bruce;nec
317;Raya Crane;937-3150 Duis Rd.;501;egestas@noo.ca;Troy;ultrices,
290;Prescott Gamble;8040 Donec St.;801;elementum@Alo.uk;Inez;Nullam
271;Allen Hurst;5195 Dui Avenue;801;enim@quara.c;Sigourney;cursus
313;Signe Randolph;Ap #7967 Metus St.;501;erat.eget@tels.ed;Dale;non
339;Baxter Terrell;7923 Arcu. Street;7601;et.magna@pl.com;Kasper;ac
275;Patricia Kirby;422-2916 Arcu. St.;7601;et@vole.co;Jermaine;Nam
328;Brynn Fleming;348-4508 Enim. St.;801;eu.odio@lo.edu;Alexis;natoque
254;Nevada Webb;849-9474 Nulla Av.;501;felis.orci@ul.org;Vincent;leo.
283;Kenneth Albert;Ap #1755 Ac St.;7601;hendrerit@trico.u;Tamekah;dictum
257;Regina Miller;933 Massa St.;1101;iaculis@id.net;Fletcher;eu
251;Armando Cabrera;Ap #5458 Ultrices Rd;801;ipsum@leoco.u;Walter;velit.
260;Maia Pollard;7328 Lorem Street;801;ipsum@rids.ne;Upton;eget
286;Jarrod Richmond;9307 Turpis St.;7601;justo@adia.or;Freya;interdum.
330;Abraham Navarro;P.O. Box 921;7601;lectus@dis.ca;Murphy;Quisque
311;Merrill Carlson;Ap #3520 Fermentum A;501;libero@dolus.c;Cally;Phasellus
267;Timothy Cohen;495-6337 Dui. Ave;1101;lorem@alo.uk;Keegan;eget,
334;Bevis Henson;409-4461 Nam Avenue;501;mi.felis@sodt.or;Yetta;lorem,
291;Delilah Hunter;P.O. Box 994;501;Morbi.non@pe.org;Jermaine;tempus
343;Jaden Best;5106 Nec St.;7601;nec.luctus@riss.ne;Miriam;eu,
277;Lacey Wall;P.O. Box 464;1101;neque@Nu.org;Tyler;Duis
329;Beatrice Duffy;P.O. Box 130;501;nibh.enim@las.ca;Felicia;mi
308;Thaddeus Morin;Ap #2921 Consectetue;501;non@dicin.c;Tiger;accumsan
297;Eve Cameron;4363 Ante Rd.;7601;Nullam@Pho.uk;Serena;lobortis,
337;Kirk Higgins;Ap #141 Sit Rd.;1101;nunc@acm.ca;Geoffrey;rutrum,
296;Lila Rutledge;147-2551 Eros. St.;801;pede.nec@semt.co;Hedley;posuere
270;Christen Chen;Ap #9324 Odio Av.;1101;pede.nec@sodn.or;Ferdinand;aliquet
303;Kylie Mcfarland;390-2713 Eu Rd.;7601;purus@ligm.or;Drew;lectus
327;Hop Conley;Ap #3903 Sapien. St.;801;quam@impIn.c;Nigel;vulputate,
344;Freya Pate;3915 Amet Road;1101;sed.libero@se.edu;Wilma;turpis
282;Camden Bowen;192-6492 Vitae Road;1101;Sed@Alim.co;Shellie;mauris
284;Damon Green;2842 Enim Street;1101;semper.dui@et.com;Stuart;dapibus
274;Cullen Reyes;723 Lobortis Avenue;1101;tellus.id@pe.net;Reece;primis
322;Melyssa Shields;4421 Tellus Av.;1101;tellus@dio.uk;Griffin;orci
336;Gay Horn;115-788 Et Rd.;801;ut.cursus@Pe.edu;Castor;id,
281;Unity Mcclure;Ap #6691 Magna, Aven;7601;vehicula@moo.uk;Oliver;nunc
285;Chadwick Cruz;Ap #7218 Dapibus Roa;1101;a@velit.net;Lani;tempor
255;Harriet Wagner;P.O. Box 905;7601;sed@nec.edu;Keely;lobortis
310;Micah Horn;470-1192 Eu Ave;501;Proin@quama.ca;Sawyer;morbi
261;Vernon Ellison;P.O. Box 275;801;Morbi@mollis.ca;Blake;Fusce
302;Hamish Sawyer;8167 Fringilla, St;7601;orci@Nunc.co.uk;Thane;rutrum.
312;Finn Todd;P.O. Box 296;1101;primis.in@ac.edu;Camden;lobortis
279;Oprah Silva;P.O. Box 719;501;eleifend@Sed.org;Kirk;feugiat
258;Keith Dean;460 Egestas, Av.;501;a.dui@auctor.org;Allen;a,
263;Michael Becker;Ap #9929 Semper Rd.;501;venenatis@non.com;Abbot;non
298;Katelyn Webb;P.O. Box 351;1101;lectus@ligula.com;James;euismod
280;James Sullivan;3978 Metus. Ave;801;tellus@rutrum.org;Carl;at
326;Leah Goff;P.O. Box 756;501;ipsum.ac@semut.net;Calvin;interdum
259;Serina Ewing;5301 Sed, Rd.;501;sodales@aliquet.ca;Oleg;nibh.
299;Adrienne Mullen;437 Neque. Avenue;501;eu@elitpharetra.ca;Timothy;neque.
304;Jesse Chen;3555 Duis Road;501;facilisis@risus.org;Belle;eget,
