nroFactura;fecha;noTarjeta;tipoTarjeta;noAprobacion;idEntidad;nroOrden
4133;4/08/17;4485301800198;DEBITO;132;3;6230
4166;27/11/17;4539846001157;CREDITO;238;2;5575
4046;25/12/16;4539842426655;DEBITO;278;1;5522
3893;9/01/16;374854691090441;DEBITO;597;1;6547
3968;5/07/16;5227345279898071;DEBITO;623;2;5524
3975;21/07/16;346337695751379;CREDITO;384;4;5185
4058;20/01/17;370629861044723;DEBITO;277;1;6229
4063;28/01/17;4024007113213283;DEBITO;805;1;5110
4071;21/02/17;345200482513074;DEBITO;259;1;6582
4088;29/03/17;4844706798414334;DEBITO;793;3;5572
4111;2/06/17;340558415890611;DEBITO;979;4;6272
4129;24/07/17;4532518450620992;CREDITO;911;2;6581
4135;3/08/17;4716147294532318;CREDITO;975;1;5140
3894;11/01/16;4913715192421023;CREDITO;892;2;6533
3909;17/02/16;4916660734183417;CREDITO;598;1;5598
3944;17/05/16;343830340969456;CREDITO;403;4;5194
3952;6/06/16;376695825827853;CREDITO;828;2;6560
3960;30/06/16;5364030842027407;DEBITO;491;3;5579
3980;25/07/16;5577619969733020;CREDITO;869;2;5564
4008;5/10/16;4175006132171677;DEBITO;871;4;6235
4014;23/10/16;345185863385632;CREDITO;644;3;5195
4018;4/11/16;375905189560227;CREDITO;505;3;6550
4037;7/12/16;4844067930093274;DEBITO;243;3;6223
4053;8/01/17;374874489857850;DEBITO;173;1;5502
4069;18/02/17;4844174867257458;DEBITO;834;2;5132
4078;3/03/17;346396050406565;DEBITO;532;3;5553
4100;4/05/17;341827412905576;CREDITO;204;3;5136
4115;13/06/17;346234633784028;DEBITO;709;1;6588
4146;25/09/17;374208531567102;CREDITO;483;1;5549
4150;30/09/17;5209324586212757;DEBITO;324;3;6212
4181;6/01/18;374854691090441;DEBITO;597;1;5135
3911;19/02/16;5227345279898071;DEBITO;623;2;6551
3913;19/02/16;346337695751379;CREDITO;384;4;5168
3940;30/04/16;370629861044723;DEBITO;277;1;5588
3950;26/05/16;4024007113213283;DEBITO;805;1;5120
3953;22/06/16;345200482513074;DEBITO;259;1;5505
3965;4/07/16;4844706798414334;DEBITO;793;3;6250
3988;30/08/16;340558415890611;DEBITO;979;4;6254
3997;8/09/16;4532518450620992;CREDITO;911;2;5531
4002;23/09/16;4716147294532318;CREDITO;975;1;5559
4039;14/12/16;4913715192421023;CREDITO;892;2;5532
4055;19/01/17;4916660734183417;CREDITO;598;1;5552
4077;3/03/17;343830340969456;CREDITO;403;4;5540
4086;27/03/17;376695825827853;CREDITO;828;2;6238
4094;23/04/17;5364030842027407;DEBITO;491;3;5523
4113;8/06/17;5577619969733020;CREDITO;869;2;5157
4141;11/09/17;4175006132171677;DEBITO;871;4;5102
4152;10/10/17;345185863385632;CREDITO;644;3;5582
4158;3/11/17;375905189560227;CREDITO;505;3;6248
4170;17/12/17;4844067930093274;DEBITO;243;3;6556
4180;6/01/18;374874489857850;DEBITO;173;1;5587
4188;6/02/18;4844174867257458;DEBITO;834;2;5125
3910;19/02/16;346396050406565;DEBITO;532;3;6544
3959;1/07/16;341827412905576;CREDITO;204;3;6542
3976;25/07/16;346234633784028;DEBITO;709;1;5536
3986;6/08/16;374208531567102;CREDITO;483;1;6286
